model,ImageNet-top1_v1-score,Rajalingham2018-i2n_v2-score
"resnet50_imagenet_1_seed-0",".005",".092"
"alexnet_early_checkpoint",".500",".354"
"densenet_201_pytorch",".722",".522"
"deit_small_imagenet_10_seed-0",".002",".075"
"mobilenet_v1_1.0_160",".680",".480"
"mobilenet_v1_1.0_224",".709",".502"
"resnet-18",".698",".524"
"mobilenet_v1_0.75_224",".684",".477"
"mobilenet_v2_0.5_128",".577",".440"
"CORnet-Z",".470",".356"
"mobilenet_v1_1.0_192",".700",".466"
"resnet-34",".733",".546"
"mobilenet_v1_0.75_192",".672",".449"
"mobilenet_v1_0.5_224",".633",".474"
"mobilenet_v1_1.0_128",".652",".437"
"mobilenet_v1_0.5_192",".617",".454"
"mobilenet_v1_0.75_128",".621",".425"
"mobilenet_v1_0.75_160",".653",".413"
"alexnet",".577",".370"
"mobilenet_v1_0.25_128",".415",".286"
"mobilenet_v2_0.35_192",".582",".437"
"mobilenet_v1_0.5_160",".591",".410"
"mobilenet_v2_0.35_160",".557",".424"
"mobilenet_v1_0.5_128",".563",".373"
"squeezenet1_1",".575",".291"
"mobilenet_v2_0.5_96",".512",".370"
"mobilenet_v1_0.25_192",".477",".344"
"mobilenet_v1_0.25_224",".498",".333"
"mobilenet_v2_0.35_128",".508",".367"
"squeezenet1_0",".575",".263"
"mobilenet_v1_0.25_160",".455",".330"
"convnext_small_imagenet_1_seed-0",".001","-0.067"
"mobilenet_v2_0.35_96",".455",".351"
"resnet50-meshes-lt-100-original-pretrained",".001",".185"
"deit_small_imagenet_1_seed-0",".001","-0.010"
"resnet50-meshes-lt-100-original-scratch",".001",".083"
"bagnet9",".260",".307"
